expid,peakid,year,season,host,route1,route2,route3,route4,nation,leaders,sponsor,success1,success2,success3,success4,ascent1,ascent2,ascent3,ascent4,claimed,disputed,countries,approach,bcdate,smtdate,smttime,smtdays,totdays,termdate,termreason,termnote,highpoint,traverse,ski,parapente,camps,rope,totmembers,smtmembers,mdeaths,tothired,smthired,hdeaths,nohired,o2used,o2none,o2climb,o2descent,o2sleep,o2medical,o2taken,o2unkwn,othersmts,campsites,accidents,achievment,agency,comrte,stdrte,primrte,primmem,primref,primid,chksum
EVER51101,EVER,1951,1,2,N Col,,,,Denmark,Klavs Becker-Larsen,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,Namche->Nangpa La->Rongbuk->C1,1951/5/3,1951/5/7,,4,11,1951/5/14,8,,6800,FALSE,FALSE,FALSE,3,0,1,0,0,3,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(03/05,5030m),C1(05/05,5425m),C2(07/05,6000m),C3(08/05,6400m),xxx(09/05,6800m)",,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2435815
EVER51301,EVER,1951,3,1,Khumbu Glacier-Khumbu Icefall (recon),,,,UK,Eric Shipton,British Reconnaissance to Mt. Everest,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,New Zealand,Khumbu Valley,1951/9/29,1951/10/28,,29,31,1951/10/30,10,,6000,FALSE,FALSE,FALSE,0,0,6,0,0,5,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Recon Cho Oyu (CHOY-513-01) and Pumori (PUMO-513-01),"BC(29/09,5485m),xxx(28/10,6000m)",,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2435989
EVER52101,EVER,1952,1,1,S Col-SE Ridge,,,,Switzerland,Edouard Wyss-Dunant,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,Khumbu Valley,1952/4/20,1952/5/28,,38,47,1952/6/6,7,Abandoned at 8600m due to fatigue,8600,FALSE,FALSE,FALSE,7,0,11,0,0,14,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(20/04,5050m),C1(25/04,5250m),C2(28/04,5600m),C3(06/05,6000m),C4(10/05,6450m),C5(14/05,6900m),Biv(25/05,7880m),C6(26/05,7950m),C7(27/05,8390m),xxx(28/05,8600m)",,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2436203
EVER52301,EVER,1952,3,1,S Col-SE Ridge,,,,Switzerland,Gabriel Chevalley,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,Khumbu Valley,1952/10/7,1952/11/20,,44,51,1952/11/27,4,,8100,FALSE,FALSE,FALSE,7,0,7,0,0,23,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"BC(07/10,5050m),C1(08/10,5250m),C2(10/10,5600m),C3(6000m),C4(6450m),C5(26/10,6900m),C6(04/11,7100m),C7(14/11,7500m),C8(19/11,7880m),xxx(20/11,8100m)","1 Sherpa killed by ice avalanche, 2 porters died on approach march",,,TRUE,TRUE,FALSE,FALSE,FALSE,,2436379
EVER52302,EVER,1952,3,2,N Col-NE Ridge,,,,USSR,Pavel Datschnolian,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,Tibet,  -   -,  -   -,,0,0,  -   -,13,Attempt rumored,8200,FALSE,FALSE,FALSE,8,0,40,0,0,36,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,"BC,C1,...,C8,xxx(8200m)",6 climbers died of unknown causes,Russians claim this attempt never happened,,TRUE,TRUE,FALSE,FALSE,FALSE,,2042
EVER53101,EVER,1953,1,1,S Col-SE Ridge,,,,UK,John Hunt,British Expedition to Mt. Everest,TRUE,FALSE,FALSE,FALSE,1st,,,,FALSE,FALSE,New Zealand,Khumbu Valley,1953/4/12,1953/5/29,1130,47,52,1953/6/3,1,,8850,FALSE,FALSE,FALSE,9,0,13,1,0,20,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Climbed Ambu Gyabjan (AMBG-531-01), Imjatse (IMJA-531-01), Kangchung Nup (KCHN-531-01), Pointed Peak (POIN-531-01), Pokalde (POKA-531-01) and Chhukung Tse (CHUK-531-01)","BC(12/04,5450m),C2(15/04,5900m),C3(22/04,6150m),C4.ABC(01/05,6460m),C5(03/05,6700m),C6(04/05),C7(17/05,7315m),C8(22/05,7950m),C9(28/05,8500m),Smt(29/05)",,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2436570
EVER56101,EVER,1956,1,1,S Col-SE Ridge,,,,Switzerland,Albert Eggler,Swiss Expedition to Everest and Lhotse 1956,TRUE,FALSE,FALSE,FALSE,"2nd,3rd",,,,FALSE,FALSE,,Khumbu Valley,1956/4/7,1956/5/23,1400,46,54,1956/5/31,1,,8850,FALSE,FALSE,FALSE,7,0,11,4,0,28,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Climbed Lhotse (LHOT-561-01) and Island Peak (IMJA-561-01),"BC(07/04,5450m),C1(11/04,5800m),C2(13/04,6100m),C3.ABC(18/04,6500m),C4(01/05,6950m),C5A(06/05,7500m),C6B(20/05,8000m),C7(22/05,8400m),Smt(23-34/05)",,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2437663
EVER58301,EVER,1958,3,2,N side (recon),,,,China,"Xu Jing, Yevgeniy Beletski",,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,USSR,,1958/11/17,1958/11/21,,4,11,1958/11/28,12,Recon only,6500,FALSE,FALSE,FALSE,0,0,13,0,0,10,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(17/11,5000m),Biv1(5950m),Biv2(6400m),xxx(21/11,6500m)",,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2438577
EVER60102,EVER,1960,1,2,N Col-NE Ridge,,,,China,Shi Zhang-Chun,,TRUE,FALSE,FALSE,FALSE,4th,,,,FALSE,FALSE,,,1960/3/19,1960/5/25,0205,67,0,  -   -,1,,8850,FALSE,FALSE,FALSE,8,0,29,3,1,99,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(19/03,5120m),C1(25/03,5400m),C2(26/03,5900m),C3(27/03,6400m),C4(27/03,6600m),C5(7000m),C6(29/04,7400m),C7(02/05,8100m),C8(03/05,8500m),Smt(25/05)",,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2439130
EVER60101,EVER,1960,1,1,S Col,,,,India,Gyan Singh,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,Nepal,Khumbu Valley,1960/4/5,1960/5/25,,50,55,1960/5/30,4,Abandoned at 8625m due to high winds,8625,FALSE,FALSE,FALSE,7,0,22,0,0,10,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Attempted Tawoche (to 5600m),"BC(05/04,5450m),C1(10/04,5850m),C2(15/04,6100m),C3.ABC(17/04,6460m),C4(19/04,6700m),C5(02/05,7300m),C6(09/05,7950m),C7(24/05,8400m),xxx(25/05,8625m)",,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2439130
EVER62101,EVER,1962,1,1,S Col-SE Ridge,,,,India,John Dias,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,,1962/3/29,1962/5/30,,62,0,  -   -,4,Abandoned at 8720m due to high winds,8720,FALSE,FALSE,FALSE,7,0,14,0,0,44,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"BC(29/03,5360m),C1(01/04,5800m),C2(6560m),C3(07/04,6560m),C4(08/04,6830m),C5(06/05,7200m),C6(24/05,8000m),C7(28/05,8440m),xxx(30/05,8720m)",1 Sherpa killed by falling rock below C4,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2439867
EVER62102,EVER,1962,1,1,N Col-N Face,,,,USA,Woodrow Wilson Sayre,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,Switzerland,Gokyo Valley->Gyachung Kang (BC)->Nup La->Rongbuk Glacier (C7),1962/4/24,1962/6/4,,41,55,1962/6/18,7,Abandoned at 7700m due to exhaustion,7700,FALSE,FALSE,FALSE,14,0,4,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Had permit for Gyachung Kang (GYAC-621-01),"BC(24/04,5030m),C1,...,C7,C8,C9,C10,C11,C12(31/05,7000m),C13,C14(7300m),xxx(04/06,7700m)",,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2439872
EVER63101,EVER,1963,1,1,S Col-SE Ridge,W Cwm-W Ridge-N Face up; SE Ridge-S Col down,,,USA,Norman Dyhrenfurth,American Mount Everest Expedition 1963,TRUE,TRUE,FALSE,FALSE,"5th,6th",7th,,,FALSE,FALSE,UK,Khumbu Valley,1963/3/21,1963/5/1,1300,41,65,1963/5/25,1,,8850,TRUE,FALSE,FALSE,6,0,20,5,1,40,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"BC(21/03,5425m),C1(30/03,6160m),C2.ABC(02/04,6510m),C3(07/04,7250m),C4(15/05,7650m),C5(16/05,7950m),C6(21/05,8300m),Smt(01,22/05); C3W(07/04,7250m),C4W(15/05,7650m),C5W(21/05,8300m),Smt(22/05),Biv(22/05,8530m)",Breitenbach killed in Khumbu Icefall,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2440204
EVER64101,EVER,1964,1,2,N Col-NE Ridge (training),,,,China,Xu Jing,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,,  -   -,  -   -,,0,0,  -   -,14,,8100,FALSE,FALSE,FALSE,0,0,20,0,1,60,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,1 member died of illness,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2054
EVER65101,EVER,1965,1,1,S Col-SE Ridge,,,,India,M. S. Kohli,Indian Mount Everest Expedition,TRUE,FALSE,FALSE,FALSE,8th-11th,,,,FALSE,FALSE,,Khumbu Valley,1965/3/22,1965/5/20,0930,59,71,1965/6/1,1,,8850,FALSE,FALSE,FALSE,6,0,20,8,0,46,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"BC(22/03,5425m),C1(27/03,6100m),C2(04/04,6490m),C3(06/04,6980m),C4(08/03,7620m),C5(18/05,7986m),C6(19/05,8513m),Smt(20,22,24,29/05)",,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2440956
EVER65102,EVER,1965,1,2,"N side (attempt reported, not confirmed)",,,,China,,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,,  -   -,  -   -,,0,0,  -   -,13,,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2055
EVER66101,EVER,1966,1,2,"N Col (training, recon)",,,,China,Xu Jing,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,,  -   -,  -   -,,0,0,  -   -,6,Abandoned at 8100 due to fatal fall,8100,FALSE,FALSE,FALSE,5,0,20,0,1,60,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(5120m),C1(5000m),C2(5500m),C3(5900m),C4(6500m),C5(7030m),xxx(8100m)",1 confirmed dead in fall; rumored many others dead (24?) because of insufficient equipment and reliance on Mao thoughts,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2056
EVER67101,EVER,1967,1,2,N Col (research),,,,China,,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,,  -   -,  -   -,,0,0,  -   -,12,,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2057
EVER67301,EVER,1967,3,2,N Col (research),,,,China,,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,,  -   -,  -   -,,0,0,  -   -,12,,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2057
EVER68101,EVER,1968,1,2,"N side (attempt reported, not confirmed)",,,,China,,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,,  -   -,  -   -,,0,0,  -   -,13,,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2058
EVER69101,EVER,1969,1,1,SW Face (recon),,,,Japan,Yoshihiro Fujita,Japanese Alpine Club (JAC),FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,Khumbu Valley,1969/5/14,1969/5/24,,10,0,  -   -,4,Abandoned at 6500m due to approaching monsoon,6500,FALSE,FALSE,FALSE,0,0,4,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(14/05,5400m),xxx(24/05,6500m)",,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2442425
EVER69102,EVER,1969,1,2,"N side (success reported, not confirmed)",,,,China,,,FALSE,FALSE,FALSE,FALSE,,,,,TRUE,FALSE,,,  -   -,  -   -,,0,0,  -   -,3,,8850,FALSE,FALSE,FALSE,0,0,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2059
EVER69301,EVER,1969,3,1,SW Face (recon),,,,Japan,Hideki Miyashita,Japanese Alpine Club (JAC),FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,,1969/9/16,1969/10/31,,45,49,1969/11/4,12,Abandoned at 8000m (did not intend to try for summit),8000,FALSE,FALSE,FALSE,4,0,12,0,0,0,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(16/09,5400m),C1(28/09,6050m),C2(15/10,6600m),C3(18/10,7000m),C4(29/10,7500m),xxx(31/10,01/11,8000m)",,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2442585
EVER69302,EVER,1969,3,1,S Col (recon),,,,Japan,Yuichiro Miura,Japanese Ministry of Foreign Affairs,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,,  -   -,  -   -,,0,0,  -   -,14,Recon only for skiing,7500,FALSE,FALSE,FALSE,5,0,16,0,0,0,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC,ABC(6400m),xxx(7500m)",1 Sherpa killed by fall into crevasse,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2059
EVER70102,EVER,1970,1,1,S Col-SE Ridge,SW Face (to 8050m),,,Japan,Hiromi Ohtsuka,,TRUE,FALSE,FALSE,FALSE,"12th,13th",,,,FALSE,FALSE,,Khumbu Valley,1970/3/23,1970/5/11,0910,49,59,1970/5/21,1,,8850,FALSE,FALSE,FALSE,6,0,39,3,1,56,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"BC(23/03,5350m),Dep(5800m),C1(04/04,6150m),C2(16/04,6450m),C3(18/04,6950m),C4(26/04,7500m),C5(26/04,7986m),C6(10/05,8513m),Smt(11-12/05); SWFaceC2.ABC(17/04,6600m),C3(18/04,7000m),C4(06/05,7500m),xxx(10/05,8050m)",1 Sherpa killed by icefall; 1 member died of heart attack,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2442778
EVER70101,EVER,1970,1,1,S Col (skiing),,,,Japan,Yuichiro Muira,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,,1970/3/23,1970/5/6,,44,0,  -   -,14,Miura skied down from 8100m to South Col to set high altitude skiing record (did not try for summit),8100,FALSE,TRUE,FALSE,5,0,34,0,0,0,0,6,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Climbed Pokalde (POKA-701-01),"BC(23/03,5350m),C1(04/04,6100m),C2(16/04,6450m),C3(18/04,6950m),C4(26/04,7400m),C5(27/04,7985m),xxx(06/05,8100m)",6 Sherpas killed in Khumbu Icefall,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2442773
EVER71101,EVER,1971,1,1,W Cwm-W Ridge (to 7300m),S Col (to 6900m),SW Face (to 8380m),,Switzerland,"Norman Dyhrenfurth, J. O. M. Roberts",International Himalayan Expedition,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,"Australia, Austria, France, India, Italy, Japan, Norway, Poland, UK, USA, W Germany",Khumbu Valley,1971/3/22,1971/5/20,,59,0,  -   -,4,Abandoned at 8380m due to bad weather and illness,8380,FALSE,FALSE,FALSE,6,0,31,0,1,55,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(22/03,5425m),C1(03/04,6250m),C2(05/04,6600m),SwF.C3(09/04,7000m),SwF.C4(01/05,7450m),SwF.C5(08/05,8000m),SwF.C6(17/05,8290m),xxx(20/05,8380m)","1 member died of exhaustion, exposure and frostbite",,,FALSE,FALSE,FALSE,FALSE,FALSE,,2443153
EVER71301,EVER,1971,3,1,S Col-SE Ridge,,,,Argentina,Hector Cativa Tolosa,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,Khumbu Valley,1971/9/14,1971/10/30,,46,0,  -   -,4,Abandoned at 8100m due to high winds,8100,FALSE,FALSE,FALSE,5,0,20,0,0,24,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(14/09),C1(17/09,6065m),C2(19/09,6450m),C3(21/09,6950m),C4(7400m),C5(28/10,7950m),xxx(30/10,8100m)",,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2443316
EVER72101,EVER,1972,1,1,SW Face,,,,W Germany,Karl M. Herrligkoffer,First European Everest Expedition,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,"Austria, Italy, Switzerland, UK",,1972/3/21,1972/5/20,,60,65,1972/5/25,4,Abandoned at 8350m due to cold weather (also low morale and team disunity),8350,FALSE,FALSE,FALSE,6,0,23,0,0,30,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"BC(21/03,5250m),C1(03/04,6050m),C2(09/04,6450m),C3(17/04,6900m),C4(26/04,7400m),C5(11/05,7900m),C6(20/05,8200m),xxx(20/05,8350m)",,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2443520
EVER72301,EVER,1972,3,1,SW Face,,,,UK,Chris Bonington,British Everest Expedition 1972,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,Australia,,1972/9/14,1972/11/12,,59,64,1972/11/17,4,Abandoned at 8230m due to high winds,8230,FALSE,FALSE,FALSE,6,0,12,0,1,40,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(14/09,5350m),C1(22/09,6100m),C2(01/10,6550m),C3(05/10,7000m),C4(12/10,7500m),C5(03/11,7925m),C6(14/11,8230m),xxx(14/11,8230m)",Tony Tighe killed in icefall by falling serac,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2443696
EVER73101,EVER,1973,1,1,S Col-SE Ridge,,,,Italy,Guido Monzino,Italian Everest Expedition,TRUE,FALSE,FALSE,FALSE,"14th,15th",,,,FALSE,FALSE,,,1973/3/21,1973/5/5,1239,45,0,  -   -,1,,8850,FALSE,FALSE,FALSE,6,0,65,5,0,88,3,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"BC(21/03,5400m),C1(27/03,6150m),C2(31/03,6450m),C3(11/04,7000m),C4(29/04,7500m),C5(30/04,7985m),C6(04/05,8515m),Smt(05,07/05)",,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2443871
