header,deathcnt,deathpct,fname,lname,name,citizen,village,sex,age,yob,dthmdy,deathtime,ddthtime,dthmondd,deathdate,deathnote,deathclsnt,deathtype,deathhgtm,deathclass,ams,weather,msuccess,o2used,o2none,myear,mseason,yearseas,msmtbid,msmtterm,expldr,hired,sherpa,tibetan,expid,membid,peakid,host,deathrte,route1,route2,agency,peakexps,peakabvbc,peaksmts,allexps,allabvbc,allsmts,highexps,highabvbc,highsmts,maxhighpt,maxpeakid
,0,0,Zhi-Qing,Shou,Zhi-Qing Shou,China,,M,0,,Spr 1964,,0,,  -   -,AMS (7000m)(a),Route preparation, 1,7000,3,1,0,0,0,0,1964,1,1964 Spr,,,China (Xu Jing),0,0,0,EVER-641-01,02,EVER,China,1,N Col-NE Ridge (training),,,0,0,0,0,0,0,0,0,0,0,
,0,0,Gao-Shu,Ma,Gao-Shu Ma,China,,M,0,,Spr 1966,,0,,  -   -,Fall (7540m),Route preparation, 4,7540,3,0,0,0,1,0,1966,1,1966 Spr,Aborted at high camp,Accident (Death or Injury to Self or Others),China (Xu Jing),0,0,0,EVER-661-01,02,EVER,China,1,"N Col (training, recon)",,,0,0,0,0,0,0,0,0,0,0,
,0,0,Phu Dorje,Sherpa,Phu Dorje Sherpa (Khumjung),Nepal, (Khumjung),M,32,1937,1969/10/18,,0,Oct 18,1969/10/18,Crevasse (5800m),Route preparation, 5,5800,3,0,0,0,0,0,1969,3,1969 Aut,No summit bid,Did Not Climb or Intend to Smt,Japan (Yuichiro Miura),1,1,0,EVER-693-02,17,EVER,Nepal,1,S Col (recon),,,0,0,0,0,0,0,0,0,0,0,
,0,0,Kami Tsering,Sherpa,Kami Tsering Sherpa,Nepal,,M,45,,1970/4/5,07:00,7,Apr 5,1970/4/5,Icefall Collapse (5700m),Route preparation, 6,5700,3,0,0,0,0,1,1970,1,1970 Spr,No summit bid,Accident (Death or Injury to Self or Others),Japan (Yuichiro Muira),1,1,0,EVER-701-01,37,EVER,Nepal,1,S Col (skiing),,,0,0,0,0,0,0,0,0,0,0,
,0,0,Kunga Norbu,Sherpa,Kunga Norbu Sherpa,Nepal,,M,33,,1970/4/5,07:00,7,Apr 5,1970/4/5,Icefall Collapse (5700m),Route preparation, 6,5700,3,0,0,0,0,1,1970,1,1970 Spr,No summit bid,Accident (Death or Injury to Self or Others),Japan (Yuichiro Muira),1,1,0,EVER-701-01,38,EVER,Nepal,1,S Col (skiing),,,0,0,0,1,1,1,0,0,0,6196,TSIS
,0,0,Nima Dorje,Sherpa,Nima Dorje Sherpa,Nepal,,M,25,,1970/4/5,07:00,7,Apr 5,1970/4/5,Icefall Collapse (5700m),Route preparation, 6,5700,3,0,0,0,0,1,1970,1,1970 Spr,No summit bid,Accident (Death or Injury to Self or Others),Japan (Yuichiro Muira),1,1,0,EVER-701-01,39,EVER,Nepal,1,S Col (skiing),,,1,1,0,2,2,1,2,2,1,8350,EVER
,0,0,Nima Norbu,Sherpa,Nima Norbu Sherpa,Nepal,,M,42,,1970/4/5,07:00,7,Apr 5,1970/4/5,Icefall Collapse (5700m),Route preparation, 6,5700,3,0,0,0,0,1,1970,1,1970 Spr,No summit bid,Accident (Death or Injury to Self or Others),Japan (Yuichiro Muira),1,1,0,EVER-701-01,40,EVER,Nepal,1,S Col (skiing),,,0,0,0,0,0,0,0,0,0,0,
,0,0,Pasang,Sherpa,Pasang Sherpa,Nepal,,M,44,,1970/4/5,07:00,7,Apr 5,1970/4/5,Icefall Collapse (5700m),Route preparation, 6,5700,3,0,0,0,0,1,1970,1,1970 Spr,No summit bid,Accident (Death or Injury to Self or Others),Japan (Yuichiro Muira),1,1,0,EVER-701-01,41,EVER,Nepal,1,S Col (skiing),,,1,1,0,7,7,2,3,3,0,7020,KANG
,0,0,Tshering Tarke,Sherpa,Tshering Tarke Sherpa,Nepal,,M,50,,1970/4/5,07:00,7,Apr 5,1970/4/5,Icefall Collapse (5700m),Route preparation, 6,5700,3,0,0,0,0,1,1970,1,1970 Spr,No summit bid,Accident (Death or Injury to Self or Others),Japan (Yuichiro Muira),1,1,0,EVER-701-01,42,EVER,Nepal,1,S Col (skiing),,,0,0,0,1,1,0,0,0,0,5600,NUMB
,0,0,Kyoshi,Narita,Kyoshi Narita,Japan,,M,28,,1970/4/21,20:45,20.75,Apr 21,1970/4/21,Illness (non-AMS) (6150m),Route preparation,10,6150,3,0,0,0,0,1,1970,1,1970 Spr,No summit bid,Accident (Death or Injury to Self or Others),Japan (Hiromi Ohtsuka),0,0,0,EVER-701-02,26,EVER,Nepal,1,S Col-SE Ridge,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Kyak Tsering,Sherpa,Kyak Tsering Sherpa (Namche Bazar),Nepal, (Namche Bazar),M,30,,1970/4/9,07:20,7.33,Apr 9,1970/4/9,Icefall Collapse (5525m),Route preparation, 6,5525,3,0,0,0,0,1,1970,1,1970 Spr,No summit bid,Accident (Death or Injury to Self or Others),Japan (Hiromi Ohtsuka),1,1,0,EVER-701-02,41,EVER,Nepal,1,S Col-SE Ridge,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Harsh Vardhan,Bahuguna,Harsh Vardhan Bahuguna,India,,M,32,,1971/4/18,18:00,18,Apr 18,1971/4/18,Exposure/Frostbite (6800m)(w),Route preparation, 3,6800,3,0,1,0,0,1,1971,1,1971 Spr,No summit bid,Route/Camp Preparation or Fixing Rope,"Switzerland (Norman Dyhrenfurth, J. O. M. Roberts)",0,0,0,EVER-711-01,04,EVER,Nepal,1,W Cwm-W Ridge (to 7300m),,,1,1,0,2,2,1,1,1,0,8600,EVER
,0,0,Tony,Tighe,Tony Tighe,Australia,,M,0,,1972/11/16,13:00,13,Nov 16,1972/11/16,Crevasse (5900m),Expedition evacuation, 5,5900,6,0,0,0,0,1,1972,3,1972 Aut,No summit bid,Did Not Climb or Intend to Smt,UK (Chris Bonington),0,0,0,EVER-723-01,11,EVER,Nepal,1,SW Face,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Jangbu,Sherpa,Jangbu Sherpa (Namche Bazar),Nepal, (Namche Bazar),M,28,,1973/10/12,,0,Oct 12,1973/10/12,Avalanche (6900m)(w),Route preparation, 7,6900,3,0,1,0,0,1,1973,3,1973 Aut,No summit bid,Accident (Death or Injury to Self or Others),Japan (Michio Yuasa),1,1,0,EVER-733-01,50,EVER,Nepal,2,SW Face (to 8380m),,,0,0,0,0,0,0,0,0,0,0,
,0,0,Gerard,Devouassoux,Gerard Devouassoux,France,,M,34,1940,1974/9/9,19:10,19.17,Sep 9,1974/9/9,Avalanche (6400m),Route preparation, 7,6400,3,0,0,0,0,1,1974,3,1974 Aut,No summit bid,Accident (Death or Injury to Self or Others),France (Gerard Devouassoux),0,0,0,EVER-743-01,01,EVER,Nepal,1,Lho La-W Ridge,,,0,0,0,1,1,1,0,0,0,7219,ANNS
,0,0,Lhakpa,Sherpa,Lhakpa Sherpa (Dolakha),Nepal, (Dolakha),M,0,,1974/9/9,19:10,19.17,Sep 9,1974/9/9,Avalanche (6400m),Route preparation, 7,6400,3,0,0,0,0,1,1974,3,1974 Aut,No summit bid,Accident (Death or Injury to Self or Others),France (Gerard Devouassoux),1,1,0,EVER-743-01,12,EVER,Nepal,1,Lho La-W Ridge,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Nawang Lotuk,Sherpa,Nawang Lotuk Sherpa (Thami),Nepal, (Thami),M,0,,1974/9/9,19:10,19.17,Sep 9,1974/9/9,Avalanche (6400m),Route preparation, 7,6400,3,0,0,0,0,1,1974,3,1974 Aut,No summit bid,Accident (Death or Injury to Self or Others),France (Gerard Devouassoux),1,1,0,EVER-743-01,13,EVER,Nepal,1,Lho La-W Ridge,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Pemba Dorje,Sherpa,Pemba Dorje Sherpa (Namche Bazar),Nepal, (Namche Bazar),M,24,,1974/9/9,19:10,19.17,Sep 9,1974/9/9,Avalanche (6400m),Route preparation, 7,6400,3,0,0,0,0,1,1974,3,1974 Aut,No summit bid,Accident (Death or Injury to Self or Others),France (Gerard Devouassoux),1,1,0,EVER-743-01,15,EVER,Nepal,1,Lho La-W Ridge,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Sanu Wangel,Sherpa,Sanu Wangel Sherpa (Taksindu),Nepal, (Taksindu),M,0,,1974/9/9,19:10,19.17,Sep 9,1974/9/9,Avalanche (6400m),Route preparation, 7,6400,3,0,0,0,0,1,1974,3,1974 Aut,No summit bid,Accident (Death or Injury to Self or Others),France (Gerard Devouassoux),1,1,0,EVER-743-01,16,EVER,Nepal,1,Lho La-W Ridge,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Nima Wangchu,Sherpa,Nima Wangchu Sherpa (Thami),Nepal, (Thami),M,0,,1974/9/9,19:10,19.17,Sep 9,1974/9/9,Avalanche (5800m),Route preparation, 7,5800,3,0,0,0,0,1,1974,3,1974 Aut,No summit bid,Accident (Death or Injury to Self or Others),France (Gerard Devouassoux),1,1,0,EVER-743-01,14,EVER,Nepal,1,Lho La-W Ridge,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Zong-Yue,Guo,Zong-Yue Guo,China,,M,0,,1975/5/4,,0,May 4,1975/5/4,Fall (8100m),Route preparation, 4,8100,3,0,0,0,1,0,1975,1,1975 Spr,No summit bid,Route/Camp Preparation or Fixing Rope,China (Shi Zhang-Chun),0,0,0,EVER-751-02,27,EVER,China,1,N Col-NE Ridge,,,1,1,0,1,1,0,1,1,0,8500,EVER
,0,0,Michael (Mick),Burke,Michael (Mick) Burke,UK,,M,34,1941,1975/9/26,14:00,14,Sep 26,1975/9/26,Fall (8800m)(w),Ascending in summit bid, 4,8800,4,0,1,0,1,0,1975,3,1975 Aut,,,UK (Chris Bonington),0,0,0,EVER-753-01,06,EVER,Nepal,1,SW Face-S Smt,,Mountain Travel,1,1,0,2,2,0,2,2,0,8230,EVER
,0,0,Mingma Nuru,Sherpa,Mingma Nuru Sherpa (Khunde),Nepal, (Khunde),M,0,,1975/8/23,,0,Aug 23,1975/8/23,Other (5000m)(e),Death enroute BC,11,5000,1,0,0,0,0,1,1975,3,1975 Aut,No summit bid,Did Not Climb or Intend to Smt,UK (Chris Bonington),1,1,0,EVER-753-01,24,EVER,Nepal,0,,,Mountain Travel,0,0,0,0,0,0,0,0,0,0,
,0,0,Terry,Thompson,Terry Thompson,UK,,M,39,1937,1976/4/10,17:00,17,Apr 10,1976/4/10,Crevasse (6600m),Route preparation, 5,6600,3,0,0,0,0,1,1976,1,1976 Spr,No summit bid,Accident (Death or Injury to Self or Others),UK (Tony Streather),0,0,0,EVER-761-01,33,EVER,Nepal,1,S Col-SE Ridge,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Ming-Ji,Shi,Ming-Ji Shi,China,,M,0,,Spr 1978,,0,,  -   -,AMS (5700m)(a),Death at BC, 1,5700,2,1,0,0,0,0,1978,1,1978 Spr,No summit bid,Did Not Climb or Intend to Smt,China (Tian Bao),0,0,0,EVER-781-01,04,EVER,China,0,,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Dawa Nuru,Sherpa,Dawa Nuru Sherpa (Thami),Nepal, (Thami),M,22,,1978/4/18,13:45,13.75,Apr 18,1978/4/18,Icefall Collapse (5800m),Route preparation, 6,5800,3,0,0,0,0,1,1978,1,1978 Spr,No summit bid,Accident (Death or Injury to Self or Others),Austria (Wolfgang Nairz),1,1,0,EVER-781-02,16,EVER,Nepal,1,S Col-SE Ridge,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Ang Phu,Sherpa,Ang Phu Sherpa (Khumjung),Nepal, (Khumjung),M,28,1950,1979/5/16,07:30,7.5,May 16,1979/5/16,Fall (7600m),Descending from summit bid, 4,7600,5,0,0,1,1,0,1979,1,1979 Spr,Successful bid,Success,Yugoslavia (Tone Skarja),1,1,0,EVER-791-01,32,EVER,Nepal,1,Lho La-W Ridge up; N Face (Hornbein)-W Ridge down,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Hannelore,Schmatz,Ms. Hannelore Schmatz,W Germany,,F,39,1940,1979/10/3,07:00,7,Oct 3,1979/10/3,Exhaustion (8350m),Descending from summit bid, 2,8350,5,0,0,1,1,0,1979,3,1979 Aut,Successful bid,Success,W Germany (Gerhard Schmatz),0,0,0,EVER-793-01,06,EVER,Nepal,1,S Col-SE Ridge,,,0,0,0,2,2,0,2,2,0,5600,MANA
,0,0,Raymond Edward (Ray),Genet,Raymond Edward (Ray) Genet,USA,,M,48,1931,1979/10/3,,0,Oct 3,1979/10/3,Exhaustion (8000m)(a),Descending from summit bid, 2,8000,5,1,0,1,1,0,1979,3,1979 Aut,Successful bid,Success,W Germany (Gerhard Schmatz),0,0,0,EVER-793-01,04,EVER,Nepal,1,S Col-SE Ridge,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Nima Tashi,,Nima Tashi,China,,M,0,,1979/10/12,,0,Oct 12,1979/10/12,Avalanche (6800m),Route preparation, 7,6800,3,0,0,0,0,1,1979,3,1979 Aut,No summit bid,Accident (Death or Injury to Self or Others),Japan (Atsuo Saito),1,0,1,EVER-793-02,10,EVER,China,2,N Col (recon to 6800m),,,0,0,0,0,0,0,0,0,0,0,
,0,0,San,Luo,San Luo,China,,M,0,,1979/10/12,,0,Oct 12,1979/10/12,Avalanche (6800m),Route preparation, 7,6800,3,0,0,0,0,1,1979,3,1979 Aut,No summit bid,Accident (Death or Injury to Self or Others),Japan (Atsuo Saito),1,0,0,EVER-793-02,11,EVER,China,2,N Col (recon to 6800m),,,0,0,0,0,0,0,0,0,0,0,
,0,0,Hong-Bao,Wang,Hong-Bao Wang,China,,M,0,,1979/10/12,,0,Oct 12,1979/10/12,Avalanche (6800m),Route preparation, 7,6800,3,0,0,0,0,1,1979,3,1979 Aut,No summit bid,Accident (Death or Injury to Self or Others),Japan (Atsuo Saito),1,0,0,EVER-793-02,12,EVER,China,2,N Col (recon to 6800m),,,1,1,0,1,1,0,1,1,0,0,
,0,0,Akira,Ube,Akira Ube,Japan,,M,31,1948,1980/5/2,,0,May 2,1980/5/2,Avalanche (8300m),Route preparation, 7,8300,3,0,0,0,1,0,1980,1,1980 Spr,Aborted below high camp,Accident (Death or Injury to Self or Others),Japan (Hyoriki Watanabe),0,0,0,EVER-801-03,24,EVER,China,2,N Face (Japanese & Hornbein Couloirs),,,0,0,0,1,1,1,1,1,1,8167,DHA1
,0,0,Mario (Franco),Piana,Mario (Franco) Piana,Italy,,M,37,1943,1980/9/22,10:30,10.5,Sep 22,1980/9/22,Avalanche (6400m),Route preparation, 7,6400,3,0,0,0,0,1,1980,3,1980 Aut,No summit bid,Accident (Death or Injury to Self or Others),Italy (Francesco Santon),0,0,0,EVER-803-01,03,EVER,Nepal,1,S Col-SE Ridge,,,0,0,0,1,1,0,0,0,0,0,
,0,0,Nawang Kersang,Sherpa,Nawang Kersang Sherpa,Nepal,,M,0,,1980/9/6,06:00,6,Sep 6,1980/9/6,Icefall Collapse (5700m),Route preparation, 6,5700,3,0,0,0,0,1,1980,3,1980 Aut,No summit bid,Accident (Death or Injury to Self or Others),Italy (Francesco Santon),1,1,0,EVER-803-01,55,EVER,Nepal,1,S Col-SE Ridge,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Noboru,Takenaka,Noboru Takenaka,Japan,,M,28,1952,1980/1/12,10:00,10,Jan 12,1981/1/12,Fall (6800m),Route preparation, 4,6800,3,0,0,0,0,1,1980,4,1980 Win,No summit bid,Accident (Death or Injury to Self or Others),Japan (Naomi Uemura),0,0,0,EVER-804-01,15,EVER,Nepal,1,S Col-SE Ridge,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Mary Francis (Marty),Hoey,Ms. Mary Francis (Marty) Hoey,USA,,F,30,1951,1982/5/15,17:30,17.5,May 15,1982/5/15,Fall (7950m),Route preparation, 4,7950,3,0,0,0,0,1,1982,1,1982 Spr,Aborted below high camp,Accident (Death or Injury to Self or Others),USA (Lou Whittaker),0,0,0,EVER-821-02,08,EVER,China,1,N Face (Great Couloir),,,0,0,0,0,0,0,0,0,0,0,
,0,0,Peter David,Boardman,Peter David Boardman,UK,,M,31,1950,1982/5/17,,0,May 17,1982/5/17,Disappearance(8230m),Ascending in summit bid, 9,8230,4,0,0,0,0,1,1982,1,1982 Spr,Aborted above high camp,Accident (Death or Injury to Self or Others),UK (Chris Bonington),0,0,0,EVER-821-03,02,EVER,China,1,NE Ridge,,,1,1,1,4,4,3,2,2,2,8850,EVER
,0,0,Joseph Thomas (Joe),Tasker,Joseph Thomas (Joe) Tasker,UK,,M,34,1948,1982/5/17,,0,May 17,1982/5/17,Disappearance(8230m),Ascending in summit bid, 9,8230,4,0,0,0,0,1,1982,1,1982 Spr,Aborted above high camp,Accident (Death or Injury to Self or Others),UK (Chris Bonington),0,0,0,EVER-821-03,06,EVER,China,1,NE Ridge,,,1,1,0,3,3,1,2,2,1,8586,KANG
,0,0,Nima Dorje,Sherpa,Nima Dorje Sherpa,Nepal,,M,22,,1982/10/14,10:30,10.5,Oct 14,1982/10/14,Fall (8300m),Descending from summit bid, 4,8300,5,0,0,0,1,0,1982,3,1982 Aut,Aborted above high camp,"Bad Weather (Storms, High Winds)",Spain (Lluis Belvis Del Rio),1,1,0,EVER-823-01,20,EVER,Nepal,1,Lho La-W Ridge,,,2,2,0,6,6,4,4,4,2,8586,KANG
,0,0,Lhakpa Tshering,Sherpa,Lhakpa Tshering Sherpa (Namche Bazar),Nepal, (Namche Bazar),M,38,,1982/9/27,13:30,13.5,Sep 27,1982/9/27,Illness (non-AMS) (6770m),Route preparation,10,6770,3,0,0,0,0,0,1982,3,1982 Aut,,,Spain (Lluis Belvis Del Rio),1,1,0,EVER-823-01,19,EVER,Nepal,1,Lho La-W Ridge,,,0,0,0,0,0,0,0,0,0,0,
,0,0,George Blair,Griffiths,George Blair Griffiths,Canada,,M,33,1949,1982/9/2,09:00,9,Sep 2,1982/9/2,Icefall Collapse (5800m),Route preparation, 6,5800,3,0,0,0,0,1,1982,3,1982 Aut,No summit bid,Accident (Death or Injury to Self or Others),Canada (William (Bill) March),0,0,0,EVER-823-02,12,EVER,Nepal,1,S Col-SE Ridge,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Ang Chuldin,Sherpa,Ang Chuldin Sherpa (Khumjung),Nepal, (Khumjung),M,20,,1982/8/31,05:30,5.5,Aug 31,1982/8/31,Avalanche (5600m),Route preparation, 7,5600,3,0,0,0,0,1,1982,3,1982 Aut,No summit bid,Accident (Death or Injury to Self or Others),Canada (William (Bill) March),1,1,0,EVER-823-02,23,EVER,Nepal,1,S Col-SE Ridge,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Dawa Dorje,Sherpa,Dawa Dorje Sherpa (Thami),Nepal, (Thami),M,42,,1982/8/31,05:30,5.5,Aug 31,1982/8/31,Avalanche (5600m),Route preparation, 7,5600,3,0,0,0,0,1,1982,3,1982 Aut,No summit bid,Accident (Death or Injury to Self or Others),Canada (William (Bill) March),1,1,0,EVER-823-02,24,EVER,Nepal,1,S Col-SE Ridge,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Pasang Sana,Sherpa,Pasang Sana Sherpa (Khunde),Nepal, (Khunde),M,30,,1982/8/31,05:30,5.5,Aug 31,1982/8/31,Avalanche (5600m),Route preparation, 7,5600,3,0,0,0,0,1,1982,3,1982 Aut,No summit bid,Accident (Death or Injury to Self or Others),Canada (William (Bill) March),1,1,0,EVER-823-02,27,EVER,Nepal,1,S Col-SE Ridge,,,0,0,0,0,0,0,0,0,0,0,
,0,0,Yasuo,Kato,Yasuo Kato,Japan,,M,33,1949,1982/12/28,,0,Dec 28,1982/12/28,Fall (8800m)(w),Descending from summit bid, 4,8800,5,0,1,1,1,0,1982,4,1982 Win,Successful bid,Success,Japan (Yasuo Kato),0,0,0,EVER-824-02,01,EVER,Nepal,1,S Col-SE Ridge,,,2,2,2,4,4,3,4,4,3,8850,EVER
